"","electoral_district_name_nom_de_circonscription","elected_party"
"1","Avalon","Liberal"
"2","Bonavista--Burin--Trinity","Liberal"
"3","Coast of Bays--Central--Notre Dame","Conservative"
"4","Labrador","Liberal"
"5","Long Range Mountains","Liberal"
"6","St. John's East/St. John's-Est","Liberal"
"7","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","Liberal"
"8","Cardigan","Liberal"
"9","Charlottetown","Liberal"
"10","Egmont","Liberal"
"11","Malpeque","Liberal"
"12","Cape Breton--Canso","Liberal"
"13","Central Nova/Nova-Centre","Liberal"
"14","Cumberland--Colchester","Conservative"
"15","Dartmouth--Cole Harbour","Liberal"
"16","Halifax","Liberal"
"17","Halifax West/Halifax-Ouest","Liberal"
"18","Kings--Hants","Liberal"
"19","Sackville--Preston--Chezzetcook","Liberal"
"20","South Shore--St. Margarets","Conservative"
"21","Sydney--Victoria","Liberal"
"22","West Nova/Nova-Ouest","Conservative"
"23","Acadie--Bathurst","Liberal"
"24","Beauséjour","Liberal"
"25","Fredericton","Liberal"
"26","Fundy Royal","Conservative"
"27","Madawaska--Restigouche","Liberal"
"28","Miramichi--Grand Lake","Conservative"
"29","Moncton--Riverview--Dieppe","Liberal"
"30","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","Conservative"
"31","Saint John--Rothesay","Liberal"
"32","Tobique--Mactaquac","Conservative"
"33","Abitibi--Baie-James--Nunavik--Eeyou","Bloc Québécois"
"34","Abitibi--Témiscamingue","Bloc Québécois"
"35","Ahuntsic-Cartierville","Liberal"
"36","Alfred-Pellan","Liberal"
"37","Argenteuil--La Petite-Nation","Liberal"
"38","Avignon--La Mitis--Matane--Matapédia","Bloc Québécois"
"39","Beauce","Conservative"
"40","Beauport--Limoilou","Bloc Québécois"
"41","Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","Bloc Québécois"
"42","Bécancour--Nicolet--Saurel","Bloc Québécois"
"43","Bellechasse--Les Etchemins--Lévis","Conservative"
"44","Beloeil--Chambly","Bloc Québécois"
"45","Berthier--Maskinongé","Bloc Québécois"
"46","Bourassa","Liberal"
"47","Brome--Missisquoi","Liberal"
"48","Brossard--Saint-Lambert","Liberal"
"49","Charlesbourg--Haute-Saint-Charles","Conservative"
"50","Châteauguay--Lacolle","Liberal"
"51","Chicoutimi--Le Fjord","Conservative"
"52","Compton--Stanstead","Liberal"
"53","Dorval--Lachine--LaSalle","Liberal"
"54","Drummond","Bloc Québécois"
"55","Gaspésie--Les Îles-de-la-Madeleine","Liberal"
"56","Gatineau","Liberal"
"57","Hochelaga","Liberal"
"58","Honoré-Mercier","Liberal"
"59","Hull--Aylmer","Liberal"
"60","Joliette","Bloc Québécois"
"61","Jonquière","Bloc Québécois"
"62","La Pointe-de-l'Île","Bloc Québécois"
"63","La Prairie","Bloc Québécois"
"64","Lac-Saint-Jean","Bloc Québécois"
"65","Lac-Saint-Louis","Liberal"
"66","LaSalle--Émard--Verdun","Liberal"
"67","Laurentides--Labelle","Bloc Québécois"
"68","Laurier--Sainte-Marie","Liberal"
"69","Laval--Les Îles","Liberal"
"70","Lévis--Lotbinière","Conservative"
"71","Longueuil--Charles-LeMoyne","Liberal"
"72","Longueuil--Saint-Hubert","Bloc Québécois"
"73","Louis-Hébert","Liberal"
"74","Louis-Saint-Laurent","Conservative"
"75","Manicouagan","Bloc Québécois"
"76","Marc-Aurèle-Fortin","Liberal"
"77","Mégantic--L'Érable","Conservative"
"78","Mirabel","Bloc Québécois"
"79","Montarville","Bloc Québécois"
"80","Montcalm","Bloc Québécois"
"81","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Conservative"
"82","Mount Royal/Mont-Royal","Liberal"
"83","Notre-Dame-de-Grâce--Westmount","Liberal"
"84","Outremont","Liberal"
"85","Papineau","Liberal"
"86","Pierre-Boucher--Les Patriotes--Verchères","Bloc Québécois"
"87","Pierrefonds--Dollard","Liberal"
"88","Pontiac","Liberal"
"89","Portneuf--Jacques-Cartier","Conservative"
"90","Québec","Liberal"
"91","Repentigny","Bloc Québécois"
"92","Richmond--Arthabaska","Conservative"
"93","Rimouski-Neigette--Témiscouata--Les Basques","Bloc Québécois"
"94","Rivière-des-Mille-Îles","Bloc Québécois"
"95","Rivière-du-Nord","Bloc Québécois"
"96","Rosemont--La Petite-Patrie","NDP"
"97","Saint-Hyacinthe--Bagot","Bloc Québécois"
"98","Saint-Jean","Bloc Québécois"
"99","Saint-Laurent","Liberal"
"100","Saint-Léonard--Saint-Michel","Liberal"
"101","Saint-Maurice--Champlain","Liberal"
"102","Salaberry--Suroît","Bloc Québécois"
"103","Shefford","Bloc Québécois"
"104","Sherbrooke","Liberal"
"105","Terrebonne","Bloc Québécois"
"106","Thérèse-De Blainville","Bloc Québécois"
"107","Trois-Rivières","Bloc Québécois"
"108","Vaudreuil--Soulanges","Liberal"
"109","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","Liberal"
"110","Vimy","Liberal"
"111","Ajax","Liberal"
"112","Algoma--Manitoulin--Kapuskasing","NDP"
"113","Aurora--Oak Ridges--Richmond Hill","Liberal"
"114","Barrie--Innisfil","Conservative"
"115","Barrie--Springwater--Oro-Medonte","Conservative"
"116","Bay of Quinte/Baie de Quinte","Conservative"
"117","Beaches--East York","Liberal"
"118","Brampton Centre/Brampton-Centre","Liberal"
"119","Brampton East/Brampton-Est","Liberal"
"120","Brampton North/Brampton-Nord","Liberal"
"121","Brampton South/Brampton-Sud","Liberal"
"122","Brampton West/Brampton-Ouest","Liberal"
"123","Brantford--Brant","Conservative"
"124","Bruce--Grey--Owen Sound","Conservative"
"125","Burlington","Liberal"
"126","Cambridge","Liberal"
"127","Carleton","Conservative"
"128","Chatham-Kent--Leamington","Conservative"
"129","Davenport","Liberal"
"130","Don Valley East/Don Valley-Est","Liberal"
"131","Don Valley North/Don Valley-Nord","Liberal"
"132","Don Valley West/Don Valley-Ouest","Liberal"
"133","Dufferin--Caledon","Conservative"
"134","Durham","Conservative"
"135","Eglinton--Lawrence","Liberal"
"136","Elgin--Middlesex--London","Conservative"
